DTYYYYMMDD,<FIRST>,<HIGH>,<LOW>,CLOSE,<VALUE>,<VOL>,<OPENINT>,<OPEN>,<LAST>
20160614,10400,10510,10375,10505,8355449230,795381,49,10400,10375
20160613,10400,10400,10400,10400,114400000,11000,5,10390,10400
20160612,10390,10390,10390,10390,107017000,10300,2,10439,10390
20160611,10470,10470,10416,10439,276655248,26503,6,10485,10416
20160608,10494,10494,10468,10485,159478280,15210,5,10544,10468
20160607,10570,10570,10510,10544,739111000,70100,9,10569,10510
20160606,10569,10569,10569,10569,105690000,10000,3,10608,10569
20160605,10608,10608,10608,10608,106080000,10000,5,10550,10608
20160601,10572,10599,10518,10550,733858689,69561,22,10505,10560
20160531,10534,10534,10481,10505,770789693,73372,23,10536,10500
20160530,10540,10540,10513,10536,487736059,46293,13,10534,10532
20160529,10531,10545,10505,10534,688200920,65330,24,10523,10535
20160528,10541,10541,10510,10523,444229140,42214,8,10520,10510
20160525,10532,10534,10471,10520,510950510,48570,10,10522,10471
20160524,10526,10588,10499,10522,143822403,13669,22,10575,10588
20160523,10539,10590,10539,10575,353672550,33445,10,10493,10590
20160521,10543,10543,10463,10493,796780822,75938,24,10491,10500
20160518,10550,10550,10431,10491,996626298,94994,19,10508,10538
20160517,10483,10550,10483,10508,659823165,62795,22,10481,10500
20160516,10479,10491,10453,10481,812134080,77484,45,10425,10470
20160515,10445,10445,10392,10425,350505040,33620,14,10361,10440
20160514,10379,10450,10326,10361,1513539740,146080,25,10434,10423
20160511,10440,10455,10413,10434,333884720,32000,11,10441,10413
20160510,10454,10454,10427,10441,206751347,19801,20,10479,10451
20160509,10394,10494,10394,10479,470006264,44854,21,10380,10441
20160508,10380,10380,10367,10380,105178811,10133,3,10470,10367
20160507,10495,10495,10442,10470,299629156,28618,14,10465,10442
20160504,10465,10465,10465,10465,42990220,4108,5,10494,10465
20160503,10503,10503,10440,10494,108575838,10346,6,10470,10440
20160502,10496,10500,10443,10470,535035350,51100,16,10427,10460
20160501,10470,10470,10389,10427,983398699,94313,29,10490,10410
20160430,10494,10511,10468,10490,144717613,13796,12,10508,10468
20160427,10538,10538,10500,10508,63413608,6035,12,10505,10500
20160426,10548,10550,10500,10505,57785548,5501,8,10602,10550
20160425,10600,10650,10600,10602,121037320,11416,23,10510,10600
20160424,10466,10600,10465,10510,169514126,16129,10,10615,10600
20160423,10650,10650,10500,10615,27652978,2605,4,10480,10500
20160420,10504,10504,10440,10480,272495772,26001,11,10499,10440
20160419,10540,10540,10487,10499,261491209,24907,5,10607,10502
20160418,10468,10733,10468,10607,66794007,6297,9,10403,10733
20160417,10409,10450,10383,10403,223650055,21498,12,10539,10450
20160416,10679,10679,10400,10539,299576300,28426,22,10669,10400
20160413,10750,10750,10625,10669,634484761,59471,17,10767,10625
20160412,10733,10770,10678,10767,5665598000,526200,36,10759,10678
20160411,10759,10759,10759,10759,93065350,8650,6,10818,10759
20160409,10841,10841,10786,10818,497465741,45986,17,10836,10830
20160406,10823,10920,10760,10836,496440360,45813,20,10819,10760
20160405,10799,10850,10799,10819,227191489,21000,11,10798,10850
20160404,10797,10950,10769,10798,127069503,11768,8,10864,10769
20160403,10880,10899,10770,10864,150314140,13836,11,11034,10890
20160402,10967,11050,10836,11034,7502641390,679939,53,10957,10836
20160330,10855,10989,10855,10957,253244577,23113,22,10876,10960
20160329,10809,10950,10809,10876,108854211,10009,18,10857,10835
20160328,10780,10949,10780,10857,107476685,9899,18,10858,10910
20160327,10870,10870,10821,10858,84217460,7756,8,10853,10860
20160326,10844,10948,10840,10853,411259422,37894,18,10680,10890
20160316,10700,10710,10658,10680,200632528,18786,17,10746,10658
20160315,10751,10770,10697,10746,6077767278,565595,44,10653,10770
20160314,10665,10700,10610,10653,915935315,85980,39,10633,10610
20160312,10547,10691,10547,10633,398761470,37502,26,10553,10615
20160309,10581,10590,10500,10553,276293936,26181,18,10610,10568
20160308,10656,10656,10575,10610,286222100,26976,27,10582,10575
20160307,10591,10650,10537,10582,724858150,68500,27,10605,10650
20160306,10629,10629,10575,10605,209913379,19793,17,10620,10576
20160305,10645,10645,10591,10620,174897369,16469,15,10597,10591
20160302,10650,10650,10585,10597,827607783,78099,18,10702,10585
20160301,10700,10780,10700,10702,631329706,58990,10,10748,10700
20160229,10751,10850,10722,10748,210515148,19587,13,10865,10850
20160228,10851,10880,10823,10865,393747511,36241,16,10884,10823
20160227,10907,10940,10852,10884,934575822,85865,20,10796,10852
20160224,10850,10861,10744,10796,1502623262,139180,24,10863,10860
20160223,10893,10900,10838,10863,342838744,31560,19,10908,10850
20160222,10900,10949,10850,10908,436224466,39993,29,10857,10900
20160221,10908,10979,10770,10857,853138207,78578,36,10873,10782
20160220,10900,10999,10831,10873,1688084385,155256,56,10825,10950
20160217,10772,10879,10750,10825,1873393102,173068,73,10704,10879
20160216,10700,10810,10678,10704,1199209900,112031,23,10754,10700
20160215,10622,10849,10622,10754,855388330,79545,38,10419,10800
20160214,10440,10500,10374,10419,1058161011,101564,31,10439,10476
20160213,10480,10480,10401,10439,363522576,34825,23,10510,10401
20160210,10400,10565,10373,10510,941265500,89561,37,10684,10500
20160209,10300,10780,10293,10684,8601939260,805110,129,10247,10620
20160208,10130,10270,10053,10247,6954933313,678731,107,10247,10265
20160207,10149,10270,10074,10247,7079928502,690897,70,10166,10115
20160206,10030,10170,10005,10166,5324459294,523752,44,10043,10161
20160203,10098,10190,9974,10043,612287785,60966,30,10306,10000
