DTYYYYMMDD,<FIRST>,<HIGH>,<LOW>,CLOSE,<VALUE>,<VOL>,<OPENINT>,<OPEN>,<LAST>
20181120,12213,12500,12073,12140,2674985256,220345,123,12708,12073
20181119,13000,13000,12253,12708,1894491959,149093,90,12853,12461
20181118,12925,13440,12290,12853,1853601995,144248,147,12936,12380
20181117,12800,13100,12706,12936,7986126207,617362,244,12892,13090
20181114,13284,13284,12750,12892,6488129800,503285,198,13373,12830
20181113,13399,13411,12700,13373,18612176526,1391742,441,12773,13280
20181112,12910,12919,12580,12773,13677589484,1070806,287,12304,12919
20181111,11431,12555,11430,12304,25137910417,2043112,416,11958,12555
20181110,11979,12070,11620,11958,7550908358,631463,167,11746,12050
20181106,11770,11987,11251,11746,3740280933,318433,103,11539,11700
20181105,11111,11791,11111,11539,2411086968,208958,71,11235,11550
20181104,10832,11414,10831,11235,3378324472,300697,65,10943,11200
20181103,11001,11300,10803,10943,1705468127,155844,57,11294,10826
20181031,11140,11412,11140,11294,1356669765,119196,41,10956,11301
20181029,11129,11140,10700,10956,3510403579,320407,154,10610,11140
20181028,10900,10979,10401,10610,4701582184,443126,101,10869,10800
20181027,10564,11520,10564,10869,937726376,87703,74,11119,10799
20181024,11800,11800,10937,11119,6615413499,594970,140,11512,10937
20181023,11601,11999,11338,11512,7943980632,690066,151,11934,11341
20181022,12180,12180,11522,11934,13503690514,1131533,211,11849,11944
20181021,12280,12280,11200,11849,13308249374,1123135,277,11764,11950
20181020,11764,11764,11764,11764,19734027652,1677493,190,11204,11764
20181017,11400,11734,10665,11204,14781199337,1319232,214,11176,11734
20181016,11370,11488,10800,11176,15503332818,1387151,282,11042,10800
20181015,10961,11999,10961,11042,22407029723,2029322,424,11537,11000
20181014,11013,11013,11013,11537,156439665,14205,6,11592,11013
20181013,11092,11092,11092,11592,235649540,21245,11,11675,11092
20181010,11701,12000,11546,11675,2981276000,255350,72,12153,11546
20181009,12078,12685,12078,12153,15241363572,1254161,271,12713,12078
20181008,12096,12096,12096,12713,54432000,4500,3,12732,12096
20181007,12732,12732,12732,12732,3886035576,305218,35,13402,12732
20181006,13289,13950,13289,13402,5401487064,403030,122,13988,13289
20181003,13439,13439,13439,13988,450891889,33551,26,14146,13439
20181002,13950,13950,13707,14146,842446641,61321,45,14428,13707
20181001,14634,15300,13903,14428,14643522114,1014943,261,13938,13903
20180929,14067,14067,14067,13938,1702107000,121000,9,13398,14067
20180926,12764,13402,12764,13398,21408522611,1597841,151,12157,13402
20180925,12163,12163,12163,12157,1806254152,148504,23,11584,12163
20180924,11600,11619,11080,11584,17454981645,1506817,155,11066,11619
20180923,11074,11075,10931,11066,21445267622,1937952,394,10548,11068
20180922,10485,10696,10188,10548,13271430891,1258146,232,10187,10695
20180918,10300,10486,10020,10187,4812057486,472371,137,10087,10349
20180917,10006,10582,10000,10087,3987808933,395358,127,10094,10140
20180916,10460,10460,10000,10094,6739124500,667627,176,10430,10000
20180915,10654,10654,10000,10430,9041538838,866916,150,10147,10459
20180912,10000,10444,9609,10147,19643512014,1935922,356,9947,10444
20180911,10948,10948,9910,9947,10678343068,1073522,247,10431,10000
20180910,9655,10435,9655,10431,9589402270,919277,146,9939,10434
20180909,9960,9970,9700,9939,10030653641,1009198,129,9496,9906
20180908,9200,9634,9152,9496,9202044421,969076,192,9176,9634
20180905,9279,9325,8900,9176,5324811660,580268,97,9027,9200
20180904,8822,9379,8822,9027,3505504388,388314,96,9235,9100
20180903,9150,9320,9101,9235,2084284505,225697,54,9071,9101
20180902,8998,9190,8800,9071,4717979293,520100,101,8998,9177
20180901,9494,9494,8850,8998,3049435150,338894,95,9191,9080
20180829,8969,9398,8712,9191,6230512849,677899,134,9081,9200
20180828,9119,9119,8700,9081,25318740696,2788233,286,8685,8700
20180827,8766,8766,8766,8685,1060773660,121010,10,8349,8766
20180826,8100,8508,8000,8349,7625960028,913410,150,8103,8508
20180825,8599,8599,7808,8103,2498619828,308358,109,8218,7900
20180821,8244,8247,7900,8218,9456031305,1150634,171,7855,8240
20180820,7689,7957,7650,7855,4411802875,561630,115,7579,7957
20180819,7500,7649,7500,7579,1342700020,177151,47,7416,7649
20180818,7415,7510,7255,7416,343115896,46246,14,7415,7510
20180815,7389,7499,7301,7415,922122665,124030,44,7323,7498
20180814,7311,7499,7293,7323,995858837,136112,42,7382,7313
20180813,7380,7400,7377,7382,557750553,75515,26,7377,7400
20180812,7633,7633,7256,7377,681351989,92482,30,7393,7500
20180811,7580,7580,7303,7393,827751451,111388,40,7281,7440
20180808,7150,7435,7002,7281,2344987154,322085,85,7113,7430
20180807,7200,7200,7011,7113,1883604730,264824,45,7159,7150
20180806,7590,7590,7080,7159,1654225822,231080,78,7316,7099
20180805,7111,7566,7000,7316,10708078944,1463623,194,7206,7220
20180804,7130,7130,6900,7206,144111739,20757,22,7248,7110
20180801,7000,7491,6990,7248,1999314104,275830,99,7135,6990
20180731,6800,7153,6800,7135,4612854804,646534,123,6813,7153
20180730,7030,7030,6724,6813,1325523028,194546,45,6697,6900
20180729,7179,7179,6600,6697,6514380383,972670,123,6872,6700
20180728,6999,7000,6801,6872,743058850,108515,33,6936,6900
20180725,6800,6950,6787,6936,1680728151,242336,40,6873,6950
20180724,6969,6970,6860,6873,2548200851,370777,47,6854,6869
20180723,6975,6975,6770,6854,503863307,74386,15,6934,6771
20180722,6996,6996,6910,6934,1527688701,220321,43,6911,6920
20180721,6750,6976,6750,6911,2504989916,362454,69,6644,6976
20180718,6502,6800,6501,6644,617407763,93159,19,6671,6518
20180717,6690,6700,6603,6671,158826552,23894,18,6675,6606
20180716,6697,6700,6577,6675,359094090,53977,13,6687,6690
20180715,6795,6799,6550,6687,223414862,33422,19,6688,6698
20180714,6601,6601,6601,6688,1623846,246,2,6688,6601
20180711,6601,6847,6601,6688,274020701,41401,12,6715,6847
20180710,6565,6899,6565,6715,1183116047,176190,23,6866,6899
20180708,6899,6940,6653,6866,797429851,116061,27,6851,6666
20180707,6800,6910,6624,6851,1138472960,166167,35,6785,6840
20180704,6799,6950,6799,6785,429353205,62539,33,6728,6800
20180703,6940,6950,6602,6728,209360156,30718,25,6705,6866
20180702,6970,6980,6600,6705,170468080,24649,25,6663,6916
20180701,7000,7099,6522,6663,905338101,136230,45,6838,6522
20180630,6850,6989,6800,6838,382746364,55073,24,6773,6801
20180627,7000,7000,6744,6773,3023496037,446436,80,7098,6744
20180626,7186,7186,6871,7098,4029344078,567690,134,6844,6872
20180625,6521,6847,6521,6844,8588691429,1254982,88,6102,6847
20180619,7200,7200,6828,7002,7579839346,1082593,143,7179,7199
20180618,7640,7640,7122,7179,3179801904,442957,96,7496,7122
20180617,7648,7649,7350,7496,2933659765,391378,99,7286,7350
20180613,7080,7319,7080,7286,3247613080,445716,82,6971,7319
20180612,6986,7071,6800,6971,1273013356,182604,34,6750,7060
20180611,6810,7000,6810,6750,41218070,6047,3,6747,7000
20180610,6701,6752,6701,6747,597263980,88480,17,6742,6752
20180609,6725,6800,6700,6742,270691723,40347,14,6754,6700
20180603,6705,6892,6705,6754,223430669,32979,26,6748,6850
20180602,6700,6900,6700,6748,629931910,93431,15,6757,6900
20180530,6730,6880,6700,6757,818778760,122072,27,6974,6880
20180529,6800,6976,6800,6974,527125600,75604,6,6976,6800
20180528,7069,7069,6801,6976,115090233,16300,8,6966,6969
20180527,7050,7070,6800,6966,20795660,3000,5,6967,6800
20180526,6800,6805,6800,6967,62948900,9251,6,6978,6805
20180523,7070,7070,7000,6978,78251110,11073,9,6971,7070
20180522,6984,7000,6958,6971,2270378515,325667,21,6954,7000
20180521,6950,6984,6950,6954,1883459640,270837,16,6899,6954
20180520,6702,6983,6701,6899,881703910,127956,26,6946,6979
20180519,6978,6978,6720,6946,20555978,3001,12,6948,6840
20180516,6670,6940,6670,6948,55103156,8210,13,6962,6940
20180515,7053,7053,6800,6962,53162825,7636,13,6962,7009
20180514,6800,6899,6712,6962,185743075,27452,28,7006,6754
20180513,7037,7129,6557,7006,1097500723,156657,50,6790,6557
20180512,6945,7018,6937,6790,402684137,57859,22,6684,7018
20180509,6435,6943,6430,6684,412457705,61691,19,6682,6943
20180508,6556,6760,6510,6682,172463400,26185,18,6702,6510
20180507,6710,6710,6700,6702,9091629,1356,7,6702,6710
20180506,6700,6700,6558,6702,29648612,4435,7,6702,6700
20180505,6700,6727,6560,6702,207775585,31630,10,6738,6561
20180501,6738,6740,6600,6738,10488020,1562,8,6738,6600
20180430,6735,6750,6680,6738,1225431010,181859,16,6632,6680
20180429,6670,6701,6450,6632,153451537,23244,13,6638,6600
20180428,6591,6700,6590,6638,544202932,82576,24,6697,6590
20180425,6589,6740,6589,6697,1132106171,169035,21,6681,6740
20180424,6620,6620,6601,6681,3306922,500,3,6681,6601
20180423,6700,6740,6605,6681,499043528,74520,19,6665,6740
20180422,6603,6700,6603,6665,750775841,112665,20,6668,6700
20180421,6700,6750,6660,6668,430434870,63892,18,6616,6700
20180418,6675,6700,6651,6616,13635950,2045,4,6615,6700
20180417,6610,6700,6601,6615,355661318,53861,14,6621,6700
20180416,6602,6602,6602,6621,1320400,200,1,6621,6602
20180415,6670,6670,6600,6621,744078131,112187,23,6588,6600
20180411,6740,6740,6510,6588,281522330,42285,24,6560,6600
20180410,6359,6731,6359,6560,504915929,75260,28,6411,6731
20180409,6340,6533,6340,6411,422438949,65337,26,6369,6533
20180408,6312,6438,6312,6369,498872625,77814,31,6323,6427
20180407,6300,6440,6300,6323,472050450,74317,31,6295,6365
20180404,6221,6600,6150,6295,3134461326,497891,87,6351,6300
20180403,6360,6560,6200,6351,239299332,38080,17,6374,6201
20180328,6410,6500,6360,6374,4282277598,671837,95,6694,6391
20180327,6788,6800,6500,6694,438358530,65050,19,6659,6500
20180326,6797,6797,6520,6659,47334164,7105,13,6659,6788
20180325,6641,6853,6640,6659,383910029,56700,20,6591,6849
20180319,6511,6759,6511,6591,565465096,84462,35,6457,6735
20180318,6437,6479,6437,6457,924505182,142867,25,6171,6479
20180317,6230,6427,6220,6171,163640831,26150,15,6153,6427
20180314,6213,6428,6200,6153,256196693,41100,17,6122,6213
20180313,6241,6250,6200,6122,139100177,22358,11,6105,6249
20180312,6110,6200,6064,6105,1746323016,286045,36,6089,6150
20180311,6009,6200,6009,6089,733519984,120178,13,6030,6200
20180310,6218,6220,6000,6030,863291876,143273,20,6132,6000
20180307,6156,6156,6000,6132,18688500,3050,3,6132,6150
20180306,6202,6368,6073,6132,760278803,125037,50,6392,6073
20180305,6299,6445,6299,6392,535449250,83755,10,6390,6350
20180304,6302,6302,6230,6390,204998875,32844,11,6431,6300
20180303,6410,6445,6301,6431,71271430,11247,12,6439,6301
20180228,6400,6500,6374,6439,685553058,106338,15,6421,6500
20180227,6529,6529,6360,6421,295614735,46245,19,6434,6400
20180226,6529,6529,6351,6434,912402995,141828,33,6457,6360
20180225,6475,6490,6411,6457,412623756,63642,13,6437,6485
20180224,6500,6548,6410,6437,307067731,47633,20,6432,6411
20180221,6410,6470,6400,6432,1412515353,219618,29,6550,6462
20180219,6550,6550,6500,6550,174753770,26817,11,6557,6500
20180218,6405,6600,6405,6557,211133580,32872,11,6595,6550
20180217,6600,6690,6566,6595,1083798776,164337,26,6618,6600
20180214,6600,6768,6598,6618,1278736220,193209,33,6712,6618
20180213,6750,6776,6700,6712,253233559,37544,21,6701,6775
20180212,6700,6770,6700,6701,1741909700,259950,38,6735,6700
20180210,6777,6777,6700,6735,977182590,145111,48,6773,6700
20180207,6775,6775,6650,6773,148957549,22165,24,6782,6651
20180206,6880,6929,6600,6782,422970636,62807,40,6816,6615
20180205,6966,6966,6635,6816,2292521649,336332,58,6635,6703
20180128,13000,13290,12923,13075,3128279402,239258,124,13099,13000
20180127,13499,13550,12950,13099,1218288398,93003,63,13307,12961
20180124,13361,13400,13005,13307,1122031628,84322,57,13283,13393
20180123,13280,13350,13200,13283,2284029671,171953,55,13237,13350
20180122,13300,13350,13050,13237,776460970,58599,22,13166,13280
20180121,13000,13380,13000,13166,4886510706,371152,104,12905,13250
20180120,12800,13000,12800,12905,2218656525,171917,70,12648,12997
20180117,12730,12810,12700,12648,219543116,17181,13,12605,12810
20180116,12740,12740,12680,12605,91463500,7189,11,12591,12740
20180115,12799,12800,12600,12591,630318200,49909,24,12496,12740
20180114,12212,12600,12212,12496,1009809570,80811,21,12361,12600
20180113,12101,12498,12101,12361,9915102,800,6,12361,12498
20180110,12500,12500,12080,12361,10886142,891,8,12363,12090
20180109,12300,12450,12150,12363,1542542351,124770,17,12181,12450
20180108,12400,12400,12100,12181,125988497,10345,8,12181,12101
20180107,12225,12225,12220,12181,473352600,38732,5,12132,12220
20180106,12399,12399,12399,12132,1239900,100,1,12132,12399
20180103,12200,12397,12000,12132,200113050,16569,18,12149,12300
20180102,12298,12300,12030,12149,692112820,56816,17,12007,12030
20180101,12400,12400,12000,12007,315402207,26160,17,11978,12388
20171231,12321,12520,11958,11978,2203057210,183930,57,12587,12495
20171230,12679,12679,12310,12587,399564481,31644,12,12555,12420
20171227,12690,12690,12240,12555,1454729210,115865,19,12646,12590
20171226,12361,12698,12360,12646,1310718000,103645,11,12679,12650
20171225,12700,12740,12571,12679,489967233,38729,39,12713,12697
20171224,12750,12850,12681,12713,335332746,26370,22,12711,12681
20171223,12570,12800,12570,12711,365874160,28954,17,12764,12750
20171220,12870,12888,12680,12764,272376609,21371,23,12773,12773
20171219,12887,12887,12710,12773,574296352,44870,11,12727,12799
20171218,12898,12899,12670,12727,497913570,39143,20,12735,12670
20171217,12900,12900,12566,12735,642515204,50601,17,12833,12700
20171216,12745,12996,12745,12833,331123475,25500,9,12745,12996
20171213,12801,12801,12750,12745,320360680,25057,9,12722,12750
20171212,12637,12969,12636,12722,870021886,68392,26,12749,12969
20171211,12611,12899,12605,12749,729299600,57347,32,12893,12605
20171210,12400,13000,12384,12893,349039876,27535,29,13034,12902
20171209,12655,12655,12610,13034,94246190,7459,7,13082,12610
20171205,13220,13225,12804,13082,671896130,51380,34,13094,12804
20171204,12901,13101,12901,13094,182187600,13940,9,13100,13101
20171203,12888,13319,12888,13100,4824698378,368310,84,12743,13200
20171202,12398,12850,12398,12743,2125963388,166839,53,12239,12850
20171129,12282,12293,12282,12239,147433800,12000,5,12229,12285
20171128,12392,12397,12300,12229,167731092,13608,14,12206,12300
20171126,12249,12350,12000,12206,977094723,80050,29,11986,12350
20171125,12240,12250,11700,11986,2113138775,176298,70,12016,12250
20171122,12100,12249,11990,12016,63788564,5293,21,12013,12239
20171121,11970,12280,11970,12013,893958730,74414,11,11892,12280
20171120,11705,11705,11700,11892,39198570,3350,4,11902,11701
20171118,11999,11999,11998,11902,10523016,877,3,11901,11999
20171115,11999,11999,11798,11901,59859624,5028,6,11901,11999
20171114,11903,11907,11900,11901,337918813,28392,22,11900,11900
20171113,12000,12000,11900,11900,224821876,18866,15,11894,12000
20171112,11870,11877,11870,11894,113581488,9567,9,11898,11872
20171111,11901,11901,11900,11898,19480720,1637,2,11898,11900
20171108,12100,12319,11800,11898,492937635,41453,18,11907,11800
20171107,12290,12290,12290,11907,12290000,1000,1,11901,12290
20171106,11820,12389,11820,11901,25975145,2151,8,11895,11860
20171105,11900,12270,11800,11895,1229179822,103335,30,11952,11803
20171104,12300,12300,11888,11952,1539967330,128846,25,12017,12000
20171101,12200,12299,12000,12017,833002015,69328,30,12222,12299
20171031,12367,12367,12024,12222,187467778,15408,10,12237,12100
20171030,12200,12300,12003,12237,244606100,20226,15,12295,12300
20171029,12462,12462,12230,12295,30414700,2462,8,12293,12400
20171028,12448,12448,12200,12293,191428879,15632,15,12307,12300
20171025,12154,12202,12152,12307,205395978,16847,9,12344,12202
20171024,12470,12500,12160,12344,2086041851,168989,30,12356,12464
20171023,12300,12498,12121,12356,91210881,7466,17,12373,12150
20171022,12300,12300,12165,12373,118020000,9650,8,12396,12165
20171021,12080,12125,12071,12396,62557598,5180,4,12421,12125
20171018,12041,12041,12041,12421,602050,50,1,12421,12041
20171017,12107,12580,12101,12421,520737611,42019,27,12462,12494
20171016,12251,12300,12220,12462,318023295,25945,18,12582,12220
20171015,12400,12700,12400,12582,257295600,20300,13,12544,12700
20171014,12600,12699,12126,12544,580073100,46241,30,12544,12699
20171011,12350,12600,12350,12544,72908050,5863,2,12554,12600
20171010,12888,12999,12888,12554,216728136,16723,6,12426,12999
20171009,12290,12900,12290,12426,274996700,22270,9,12462,12789
20171008,12555,12999,12186,12462,878336210,70479,35,12827,12880
20171007,12732,12748,12626,12827,688092287,54076,21,13177,12626
20171004,13375,13375,12682,13177,2352060,180,2,13177,12682
20171003,12945,13379,12750,13177,285271730,22235,13,13338,13379
20171002,13380,13512,12948,13338,844261376,63250,17,13249,13419
20170927,13365,13365,13200,13249,1434857500,108300,9,13187,13200
20170926,13222,13300,12971,13187,793008796,59972,17,12971,13285
20170925,13022,13022,12809,12971,447618504,34710,20,13045,13000
20170924,13100,13100,12990,13045,184226140,14143,10,13050,13089
20170923,12990,13200,12990,13050,1188737610,91089,35,12725,13198
20170920,12888,12949,12700,12725,515378750,40550,15,12746,12949
20170919,12776,12950,12315,12746,3455158238,271082,34,12481,12888
20170918,12610,12780,12460,12481,237506710,18917,14,12454,12470
20170917,12390,12610,12390,12454,110485900,8900,6,12460,12610
20170916,12749,12750,12223,12460,130284509,10600,10,12490,12400
20170913,12241,12300,12222,12490,127254292,10378,15,12530,12300
20170912,12800,12800,12800,12530,1280000,100,2,12530,12800
20170911,12552,12800,12353,12530,764899387,61179,21,12720,12353
20170910,12523,12890,12523,12720,12948930,1010,3,12719,12890
20170906,13189,13189,12501,12719,253624580,20276,5,12805,12530
20170905,13000,13000,12998,12805,263600446,20277,3,12725,12998
20170902,12520,12987,12520,12725,429396804,34261,22,12908,12520
20170830,12651,12999,12520,12908,1595705440,123620,16,12824,12520
20170829,13120,13120,12520,12824,354354162,28063,21,12956,12520
20170828,13100,13100,12801,12956,102225682,7942,4,12967,12801
20170827,13000,13290,12815,12967,387340050,29910,21,12980,12950
20170826,13289,13289,12805,12980,367599050,28373,14,12996,12850
20170823,13417,13500,12665,12996,387759572,30393,28,13179,13000
20170822,12799,13215,12799,13179,4970679590,377170,107,12586,13215
20170821,12700,12795,12500,12586,741759044,58962,38,12615,12500
20170820,12500,12700,12500,12615,17619514,1400,6,12616,12700
20170819,12456,12800,12456,12616,313435063,25099,11,12687,12495
20170816,12457,12700,12451,12687,410956520,32850,20,12843,12510
20170815,12800,12800,12471,12843,39984104,3150,5,12850,12800
20170814,12605,12850,12460,12850,284476360,22556,14,12963,12850
20170813,13000,13000,12750,12963,150201870,11749,15,12999,12750
20170812,12997,13060,12780,12999,206048400,15845,22,12997,12990
20170809,13000,13000,12751,12997,99756022,7687,11,13000,13000
20170808,13000,13134,13000,13000,904290586,69559,18,12997,13001
20170807,13000,13001,12801,12997,2773351465,213384,39,12966,12980
20170806,12900,13000,12736,12966,690390328,53273,18,12988,12990
20170802,13099,13099,13000,12988,510646800,39279,9,12972,13000
20170801,12701,13100,12701,12972,124380076,9647,9,12985,12806
20170731,13000,13189,12707,12985,518024325,39930,26,13001,13090
20170730,13000,13247,12999,13001,2167844566,166750,26,13027,13000
20170729,13259,13259,12956,13027,473368039,36443,18,13069,13001
20170726,13050,13268,13000,13069,4037198759,308923,62,13084,13007
20170725,13000,13340,12914,13084,1568757927,119898,26,13048,13269
20170724,13248,13248,13100,13048,80722585,6128,7,13036,13219
20170723,12801,13300,12801,13036,253512650,19192,23,12971,13000
20170722,12670,13000,12670,12971,124510449,9615,10,12974,13000
